iteration	loss	baseline	error	formula	error	
1	4.40548944	0.54414415	0.54414415	0.00000000	(0.2641*(((0.2134*(x0)+0.2068*(x1)+-0.6855*(x2)+0.2108*(x3)+0.2117*(x4)+0.1007))*((0.0187*((x0)**4)+-0.0953*((x1)**4)+0.3962*((x2)**4)+-0.0004*((x3)**4)+0.0010*((x4)**4)+-0.2107)))+0.0174)	
2	0.78727895	0.53175861	0.29643312	0.00000000	(0.2641*(((0.2134*(x0)+0.2068*(x1)+-0.6855*(x2)+0.2108*(x3)+0.2117*(x4)+0.1007))*((0.0187*((x0)**4)+-0.0953*((x1)**4)+0.3962*((x2)**4)+-0.0004*((x3)**4)+0.0010*((x4)**4)+-0.2107)))+0.0174)	
3	4.15012646	0.52886260	0.47383937	0.00000000	(0.2641*(((0.2134*(x0)+0.2068*(x1)+-0.6855*(x2)+0.2108*(x3)+0.2117*(x4)+0.1007))*((0.0187*((x0)**4)+-0.0953*((x1)**4)+0.3962*((x2)**4)+-0.0004*((x3)**4)+0.0010*((x4)**4)+-0.2107)))+0.0174)	
4	14.25521278	0.56126976	1.17700529	0.00000000	(-0.0906*(((-0.0004*((x0)**3)+0.0026*((x1)**3)+-0.0003*((x2)**3)+0.0002*((x3)**3)+-0.0003*((x4)**3)+0.0472))+((0.0600*(x0)+0.0595*(x1)+-0.4920*(x2)+0.0597*(x3)+0.0600*(x4)+0.2721)))+0.0343)	
5	0.99599808	0.54929507	0.32177544	0.00000000	(-0.0906*(((-0.0004*((x0)**3)+0.0026*((x1)**3)+-0.0003*((x2)**3)+0.0002*((x3)**3)+-0.0003*((x4)**3)+0.0472))+((0.0600*(x0)+0.0595*(x1)+-0.4920*(x2)+0.0597*(x3)+0.0600*(x4)+0.2721)))+0.0343)	
6	42.41429520	0.67910159	3.14542580	0.00000000	(-0.1300*(((-0.0839*(x0)+-0.0839*(x1)+-0.4686*(x2)+-0.0839*(x3)+-0.0839*(x4)+-0.2873))-((0.1572*(1)+0.0644*(1)+0.0286*(1)+0.1211*(1)+0.0428*(1)+-0.0380)))+-0.0971)	
7	40.09498215	0.78884357	2.87394166	0.00000000	(-0.0861*(((-0.1171*(0)+0.1891*(0)+0.0131*(0)+0.0718*(0)+0.1151*(0)+-0.0336))+((0.0050*(x0)+0.0050*(x1)+-0.5759*(x2)+0.0050*(x3)+0.0050*(x4)+0.0753)))+0.0040)	
8	1.18379247	0.76692367	0.35044524	0.00000000	(-0.0861*(((-0.1171*(0)+0.1891*(0)+0.0131*(0)+0.0718*(0)+0.1151*(0)+-0.0336))+((0.0050*(x0)+0.0050*(x1)+-0.5759*(x2)+0.0050*(x3)+0.0050*(x4)+0.0753)))+0.0040)	
9	1.35952783	0.75224948	0.47343931	0.00000000	(-0.0861*(((-0.1171*(0)+0.1891*(0)+0.0131*(0)+0.0718*(0)+0.1151*(0)+-0.0336))+((0.0050*(x0)+0.0050*(x1)+-0.5759*(x2)+0.0050*(x3)+0.0050*(x4)+0.0753)))+0.0040)	
10	5.71341372	0.75088227	0.72490633	0.00000000	(-0.0861*(((-0.1171*(0)+0.1891*(0)+0.0131*(0)+0.0718*(0)+0.1151*(0)+-0.0336))+((0.0050*(x0)+0.0050*(x1)+-0.5759*(x2)+0.0050*(x3)+0.0050*(x4)+0.0753)))+0.0040)	
11	1.87964439	0.73493594	0.43195629	0.00000000	(-0.0861*(((-0.1171*(0)+0.1891*(0)+0.0131*(0)+0.0718*(0)+0.1151*(0)+-0.0336))+((0.0050*(x0)+0.0050*(x1)+-0.5759*(x2)+0.0050*(x3)+0.0050*(x4)+0.0753)))+0.0040)	
