iteration	loss	baseline	error	formula	error	
1	32.83367538	2.26658702	2.26658702	0.00000000	(-0.1938*(((-0.2308*(x0)+-0.2307*(x1)+-0.2308*(x2)+-0.2308*(x3)+-0.2308*(x4)+-0.3425))*((-0.1795*(x0)+-0.1795*(x1)+1.6206*(x2)+-0.1795*(x3)+-0.1795*(x4)+0.0498)))+0.0144)	
2	2.56836748	2.16898394	0.31452703	0.00000000	(-0.1938*(((-0.2308*(x0)+-0.2307*(x1)+-0.2308*(x2)+-0.2308*(x3)+-0.2308*(x4)+-0.3425))*((-0.1795*(x0)+-0.1795*(x1)+1.6206*(x2)+-0.1795*(x3)+-0.1795*(x4)+0.0498)))+0.0144)	
3	2.57578349	2.07591009	0.30750903	0.00000000	(-0.1938*(((-0.2308*(x0)+-0.2307*(x1)+-0.2308*(x2)+-0.2308*(x3)+-0.2308*(x4)+-0.3425))*((-0.1795*(x0)+-0.1795*(x1)+1.6206*(x2)+-0.1795*(x3)+-0.1795*(x4)+0.0498)))+0.0144)	
4	2.38997865	1.98697603	0.29722905	0.00000000	(-0.1938*(((-0.2308*(x0)+-0.2307*(x1)+-0.2308*(x2)+-0.2308*(x3)+-0.2308*(x4)+-0.3425))*((-0.1795*(x0)+-0.1795*(x1)+1.6206*(x2)+-0.1795*(x3)+-0.1795*(x4)+0.0498)))+0.0144)	
5	3.13071942	1.90338230	0.31510103	0.00000000	(-0.1938*(((-0.2308*(x0)+-0.2307*(x1)+-0.2308*(x2)+-0.2308*(x3)+-0.2308*(x4)+-0.3425))*((-0.1795*(x0)+-0.1795*(x1)+1.6206*(x2)+-0.1795*(x3)+-0.1795*(x4)+0.0498)))+0.0144)	
6	1.78919470	1.82057250	0.24718650	0.00000000	(-0.1938*(((-0.2308*(x0)+-0.2307*(x1)+-0.2308*(x2)+-0.2308*(x3)+-0.2308*(x4)+-0.3425))*((-0.1795*(x0)+-0.1795*(x1)+1.6206*(x2)+-0.1795*(x3)+-0.1795*(x4)+0.0498)))+0.0144)	
7	1.51431429	1.75013793	0.41188356	0.00000000	(-0.1938*(((-0.2308*(x0)+-0.2307*(x1)+-0.2308*(x2)+-0.2308*(x3)+-0.2308*(x4)+-0.3425))*((-0.1795*(x0)+-0.1795*(x1)+1.6206*(x2)+-0.1795*(x3)+-0.1795*(x4)+0.0498)))+0.0144)	
8	3.27795649	1.68308592	0.40909782	0.00000000	(-0.1938*(((-0.2308*(x0)+-0.2307*(x1)+-0.2308*(x2)+-0.2308*(x3)+-0.2308*(x4)+-0.3425))*((-0.1795*(x0)+-0.1795*(x1)+1.6206*(x2)+-0.1795*(x3)+-0.1795*(x4)+0.0498)))+0.0144)	
9	2.02786040	1.61645293	0.35042709	0.00000000	(-0.1938*(((-0.2308*(x0)+-0.2307*(x1)+-0.2308*(x2)+-0.2308*(x3)+-0.2308*(x4)+-0.3425))*((-0.1795*(x0)+-0.1795*(x1)+1.6206*(x2)+-0.1795*(x3)+-0.1795*(x4)+0.0498)))+0.0144)	
10	2.54239202	1.54949963	0.27738744	0.00000000	(-0.1938*(((-0.2308*(x0)+-0.2307*(x1)+-0.2308*(x2)+-0.2308*(x3)+-0.2308*(x4)+-0.3425))*((-0.1795*(x0)+-0.1795*(x1)+1.6206*(x2)+-0.1795*(x3)+-0.1795*(x4)+0.0498)))+0.0144)	
