iteration	loss	baseline	error	formula	error	
1	1.02109087	0.18037978	0.18037978	0.00000316	(0.1977*((((-0.5769*(x0)+-0.2163*(x1)+-0.5896*(x2)+0.2782*(x3)+-0.2980))-((0.0103*(0)+0.0048*(0)+-0.0498*(0)+-0.0995*(0)+0.3075))))**4+-0.0984)	
2	1.87600350	0.18528496	0.27848330	0.00000008	(-0.1741*cos((((-0.9483*(x0)+-0.3991*(x1)+-0.9357*(x2)+0.5269*(x3)+-0.4196))-((0.9430*(x0)+0.2888*(x1)+0.9485*(x2)+-0.5502*(x3)+0.3453))))+0.0177)	
3	0.56289709	0.18706238	0.22083335	0.00000008	(-0.1741*cos((((-0.9483*(x0)+-0.3991*(x1)+-0.9357*(x2)+0.5269*(x3)+-0.4196))-((0.9430*(x0)+0.2888*(x1)+0.9485*(x2)+-0.5502*(x3)+0.3453))))+0.0177)	
4	0.07199817	0.18426941	0.13120289	0.00000008	(-0.1741*cos((((-0.9483*(x0)+-0.3991*(x1)+-0.9357*(x2)+0.5269*(x3)+-0.4196))-((0.9430*(x0)+0.2888*(x1)+0.9485*(x2)+-0.5502*(x3)+0.3453))))+0.0177)	
5	1.95335603	0.18648419	0.22856514	0.00000008	(-0.1741*cos((((-0.9483*(x0)+-0.3991*(x1)+-0.9357*(x2)+0.5269*(x3)+-0.4196))-((0.9430*(x0)+0.2888*(x1)+0.9485*(x2)+-0.5502*(x3)+0.3453))))+0.0177)	
6	2.13254833	0.19163400	0.28948045	0.00000006	(-0.1917*cos((((1.1616*(x0)+0.0679*(x1)+1.1592*(x2)+-1.5198*(x3)+0.2554))-((-0.2772*(1)+-0.2501*(1)+-0.2097*(1)+-0.1715*(1)+-0.1531))))+0.0315)	
7	0.59736925	0.19772922	0.31353831	0.00000006	(-0.1917*cos((((1.1616*(x0)+0.0679*(x1)+1.1592*(x2)+-1.5198*(x3)+0.2554))-((-0.2772*(1)+-0.2501*(1)+-0.2097*(1)+-0.1715*(1)+-0.1531))))+0.0315)	
8	0.54774022	0.20026299	0.24840465	0.00000006	(-0.1917*cos((((1.1616*(x0)+0.0679*(x1)+1.1592*(x2)+-1.5198*(x3)+0.2554))-((-0.2772*(1)+-0.2501*(1)+-0.2097*(1)+-0.1715*(1)+-0.1531))))+0.0315)	
9	0.49703917	0.20102699	0.21554279	0.00000006	(-0.1917*cos((((1.1616*(x0)+0.0679*(x1)+1.1592*(x2)+-1.5198*(x3)+0.2554))-((-0.2772*(1)+-0.2501*(1)+-0.2097*(1)+-0.1715*(1)+-0.1531))))+0.0315)	
10	1.75833178	0.20705624	0.32161218	0.00000004	(0.2331*sin((((0.6503*(sin(x0))+0.1687*(sin(x1))+0.5699*(sin(x2))+-0.9192*(sin(x3))+-0.0488))+((0.1582*(exp(x0))+-0.1678*(exp(x1))+0.2151*(exp(x2))+-0.3512*(exp(x3))+0.1242))))+0.0242)	
11	1.90471447	0.20918071	0.24954586	0.00000004	(0.2331*sin((((0.6503*(sin(x0))+0.1687*(sin(x1))+0.5699*(sin(x2))+-0.9192*(sin(x3))+-0.0488))+((0.1582*(exp(x0))+-0.1678*(exp(x1))+0.2151*(exp(x2))+-0.3512*(exp(x3))+0.1242))))+0.0242)	
12	1.77442861	0.22261985	0.47796342	0.00000002	(-0.2541*cos((((-0.1838*(0)+-0.0203*(0)+0.0072*(0)+-0.0454*(0)+0.4882))-((-1.1598*(x0)+-0.3538*(x1)+-1.1582*(x2)+0.8382*(x3)+-0.6332))))+0.0226)	
13	0.48823315	0.22207734	0.21176977	0.00000002	(-0.2541*cos((((-0.1838*(0)+-0.0203*(0)+0.0072*(0)+-0.0454*(0)+0.4882))-((-1.1598*(x0)+-0.3538*(x1)+-1.1582*(x2)+0.8382*(x3)+-0.6332))))+0.0226)	
14	1.72817361	0.22813502	0.34323102	0.00000002	(-0.2541*cos((((-0.1838*(0)+-0.0203*(0)+0.0072*(0)+-0.0454*(0)+0.4882))-((-1.1598*(x0)+-0.3538*(x1)+-1.1582*(x2)+0.8382*(x3)+-0.6332))))+0.0226)	
15	0.71402562	0.22644222	0.19427887	0.00000002	(-0.2541*cos((((-0.1838*(0)+-0.0203*(0)+0.0072*(0)+-0.0454*(0)+0.4882))-((-1.1598*(x0)+-0.3538*(x1)+-1.1582*(x2)+0.8382*(x3)+-0.6332))))+0.0226)	
16	1.09181035	0.22701040	0.23780584	0.00000002	(-0.2541*cos((((-0.1838*(0)+-0.0203*(0)+0.0072*(0)+-0.0454*(0)+0.4882))-((-1.1598*(x0)+-0.3538*(x1)+-1.1582*(x2)+0.8382*(x3)+-0.6332))))+0.0226)	
17	1.10810900	0.23288730	0.34454867	0.00000002	(-0.2541*cos((((-0.1838*(0)+-0.0203*(0)+0.0072*(0)+-0.0454*(0)+0.4882))-((-1.1598*(x0)+-0.3538*(x1)+-1.1582*(x2)+0.8382*(x3)+-0.6332))))+0.0226)	
18	0.46326652	0.23224103	0.21996212	0.00000002	(-0.2541*cos((((-0.1838*(0)+-0.0203*(0)+0.0072*(0)+-0.0454*(0)+0.4882))-((-1.1598*(x0)+-0.3538*(x1)+-1.1582*(x2)+0.8382*(x3)+-0.6332))))+0.0226)	
19	0.27362639	0.22772068	0.14183396	0.00000002	(-0.2541*cos((((-0.1838*(0)+-0.0203*(0)+0.0072*(0)+-0.0454*(0)+0.4882))-((-1.1598*(x0)+-0.3538*(x1)+-1.1582*(x2)+0.8382*(x3)+-0.6332))))+0.0226)	
20	0.46717930	0.22395210	0.15234916	0.00000002	(-0.2541*cos((((-0.1838*(0)+-0.0203*(0)+0.0072*(0)+-0.0454*(0)+0.4882))-((-1.1598*(x0)+-0.3538*(x1)+-1.1582*(x2)+0.8382*(x3)+-0.6332))))+0.0226)	
21	1.98905194	0.23393311	0.42357239	0.00000002	(-0.2541*cos((((-0.1838*(0)+-0.0203*(0)+0.0072*(0)+-0.0454*(0)+0.4882))-((-1.1598*(x0)+-0.3538*(x1)+-1.1582*(x2)+0.8382*(x3)+-0.6332))))+0.0226)	
22	1.04939723	0.23768684	0.30900770	0.00000002	(-0.2541*cos((((-0.1838*(0)+-0.0203*(0)+0.0072*(0)+-0.0454*(0)+0.4882))-((-1.1598*(x0)+-0.3538*(x1)+-1.1582*(x2)+0.8382*(x3)+-0.6332))))+0.0226)	
23	1.38494456	0.23629986	0.20994730	0.00000002	(-0.2541*cos((((-0.1838*(0)+-0.0203*(0)+0.0072*(0)+-0.0454*(0)+0.4882))-((-1.1598*(x0)+-0.3538*(x1)+-1.1582*(x2)+0.8382*(x3)+-0.6332))))+0.0226)	
24	1.46047711	0.24292022	0.36870703	0.00000002	(-0.2541*cos((((-0.1838*(0)+-0.0203*(0)+0.0072*(0)+-0.0454*(0)+0.4882))-((-1.1598*(x0)+-0.3538*(x1)+-1.1582*(x2)+0.8382*(x3)+-0.6332))))+0.0226)	
25	0.66087240	0.24590062	0.30252814	0.00000002	(-0.2541*cos((((-0.1838*(0)+-0.0203*(0)+0.0072*(0)+-0.0454*(0)+0.4882))-((-1.1598*(x0)+-0.3538*(x1)+-1.1582*(x2)+0.8382*(x3)+-0.6332))))+0.0226)	
