iteration	loss	baseline	error	formula	error	
20	0.02411611	0.15569566	0.15532719	0.00004753	(((((-0.0770*(sin(x0))+0.6029*(sin(x1))+-0.0070*(sin(x2))+-0.3282))*((-0.0345*(sin(x0))+0.8406*(sin(x1))+-0.1100*(sin(x2))+0.0071))))*((-0.2304*(1)+-0.3055*(1)+-0.2647*(1)+-0.1732)))	
21	0.00501747	0.15577541	0.15729058	0.00004753	(((((-0.0770*(sin(x0))+0.6029*(sin(x1))+-0.0070*(sin(x2))+-0.3282))*((-0.0345*(sin(x0))+0.8406*(sin(x1))+-0.1100*(sin(x2))+0.0071))))*((-0.2304*(1)+-0.3055*(1)+-0.2647*(1)+-0.1732)))	
22	0.00684668	0.15581408	0.15654884	0.00004753	(((((-0.0770*(sin(x0))+0.6029*(sin(x1))+-0.0070*(sin(x2))+-0.3282))*((-0.0345*(sin(x0))+0.8406*(sin(x1))+-0.1100*(sin(x2))+0.0071))))*((-0.2304*(1)+-0.3055*(1)+-0.2647*(1)+-0.1732)))	
23	0.00653344	0.15588692	0.15727063	0.00004753	(((((-0.0770*(sin(x0))+0.6029*(sin(x1))+-0.0070*(sin(x2))+-0.3282))*((-0.0345*(sin(x0))+0.8406*(sin(x1))+-0.1100*(sin(x2))+0.0071))))*((-0.2304*(1)+-0.3055*(1)+-0.2647*(1)+-0.1732)))	
24	0.02220547	0.15585762	0.15530117	0.00004753	(((((-0.0770*(sin(x0))+0.6029*(sin(x1))+-0.0070*(sin(x2))+-0.3282))*((-0.0345*(sin(x0))+0.8406*(sin(x1))+-0.1100*(sin(x2))+0.0071))))*((-0.2304*(1)+-0.3055*(1)+-0.2647*(1)+-0.1732)))	
25	0.00716618	0.15584239	0.15555313	0.00004753	(((((-0.0770*(sin(x0))+0.6029*(sin(x1))+-0.0070*(sin(x2))+-0.3282))*((-0.0345*(sin(x0))+0.8406*(sin(x1))+-0.1100*(sin(x2))+0.0071))))*((-0.2304*(1)+-0.3055*(1)+-0.2647*(1)+-0.1732)))	
26	0.00730243	0.15587699	0.15653427	0.00004738	(((((-0.1142*(x0)+0.8142*(x1)+0.1158*(x2)+-0.6039))*((-0.0836*((x0)**4)+1.6922*((x1)**4)+-0.0920*((x2)**4)+-0.3515))))*((0.1559*(sin(x0))+1.3771*(sin(x1))+-0.2269*(sin(x2))+0.0126)))	
27	0.00555614	0.15590405	0.15641844	0.00004738	(((((-0.1142*(x0)+0.8142*(x1)+0.1158*(x2)+-0.6039))*((-0.0836*((x0)**4)+1.6922*((x1)**4)+-0.0920*((x2)**4)+-0.3515))))*((0.1559*(sin(x0))+1.3771*(sin(x1))+-0.2269*(sin(x2))+0.0126)))	
28	0.00627445	0.15598573	0.15753733	0.00004738	(((((-0.1142*(x0)+0.8142*(x1)+0.1158*(x2)+-0.6039))*((-0.0836*((x0)**4)+1.6922*((x1)**4)+-0.0920*((x2)**4)+-0.3515))))*((0.1559*(sin(x0))+1.3771*(sin(x1))+-0.2269*(sin(x2))+0.0126)))	
29	0.00282006	0.15600830	0.15643713	0.00004738	(((((-0.1142*(x0)+0.8142*(x1)+0.1158*(x2)+-0.6039))*((-0.0836*((x0)**4)+1.6922*((x1)**4)+-0.0920*((x2)**4)+-0.3515))))*((0.1559*(sin(x0))+1.3771*(sin(x1))+-0.2269*(sin(x2))+0.0126)))	
30	0.00326655	0.15609050	0.15765209	0.00004738	(((((-0.1142*(x0)+0.8142*(x1)+0.1158*(x2)+-0.6039))*((-0.0836*((x0)**4)+1.6922*((x1)**4)+-0.0920*((x2)**4)+-0.3515))))*((0.1559*(sin(x0))+1.3771*(sin(x1))+-0.2269*(sin(x2))+0.0126)))	
31	0.02237023	0.15605499	0.15538023	0.00004738	(((((-0.1142*(x0)+0.8142*(x1)+0.1158*(x2)+-0.6039))*((-0.0836*((x0)**4)+1.6922*((x1)**4)+-0.0920*((x2)**4)+-0.3515))))*((0.1559*(sin(x0))+1.3771*(sin(x1))+-0.2269*(sin(x2))+0.0126)))	
32	0.00425907	0.15606658	0.15628701	0.00004738	(((((-0.1142*(x0)+0.8142*(x1)+0.1158*(x2)+-0.6039))*((-0.0836*((x0)**4)+1.6922*((x1)**4)+-0.0920*((x2)**4)+-0.3515))))*((0.1559*(sin(x0))+1.3771*(sin(x1))+-0.2269*(sin(x2))+0.0126)))	
33	0.00595920	0.15605202	0.15577570	0.00004738	(((((-0.1142*(x0)+0.8142*(x1)+0.1158*(x2)+-0.6039))*((-0.0836*((x0)**4)+1.6922*((x1)**4)+-0.0920*((x2)**4)+-0.3515))))*((0.1559*(sin(x0))+1.3771*(sin(x1))+-0.2269*(sin(x2))+0.0126)))	
34	0.01085489	0.15604489	0.15590931	0.00004738	(((((-0.1142*(x0)+0.8142*(x1)+0.1158*(x2)+-0.6039))*((-0.0836*((x0)**4)+1.6922*((x1)**4)+-0.0920*((x2)**4)+-0.3515))))*((0.1559*(sin(x0))+1.3771*(sin(x1))+-0.2269*(sin(x2))+0.0126)))	
35	0.00835158	0.15602911	0.15572925	0.00004738	(((((-0.1142*(x0)+0.8142*(x1)+0.1158*(x2)+-0.6039))*((-0.0836*((x0)**4)+1.6922*((x1)**4)+-0.0920*((x2)**4)+-0.3515))))*((0.1559*(sin(x0))+1.3771*(sin(x1))+-0.2269*(sin(x2))+0.0126)))	
36	0.00325255	0.15603916	0.15623026	0.00004738	(((((-0.1142*(x0)+0.8142*(x1)+0.1158*(x2)+-0.6039))*((-0.0836*((x0)**4)+1.6922*((x1)**4)+-0.0920*((x2)**4)+-0.3515))))*((0.1559*(sin(x0))+1.3771*(sin(x1))+-0.2269*(sin(x2))+0.0126)))	
37	0.02265046	0.15600599	0.15537599	0.00004738	(((((-0.1142*(x0)+0.8142*(x1)+0.1158*(x2)+-0.6039))*((-0.0836*((x0)**4)+1.6922*((x1)**4)+-0.0920*((x2)**4)+-0.3515))))*((0.1559*(sin(x0))+1.3771*(sin(x1))+-0.2269*(sin(x2))+0.0126)))	
38	0.01179809	0.15599954	0.15587699	0.00004738	(((((-0.1142*(x0)+0.8142*(x1)+0.1158*(x2)+-0.6039))*((-0.0836*((x0)**4)+1.6922*((x1)**4)+-0.0920*((x2)**4)+-0.3515))))*((0.1559*(sin(x0))+1.3771*(sin(x1))+-0.2269*(sin(x2))+0.0126)))	
39	0.00762497	0.15594164	0.15484142	0.00004738	(((((-0.1142*(x0)+0.8142*(x1)+0.1158*(x2)+-0.6039))*((-0.0836*((x0)**4)+1.6922*((x1)**4)+-0.0920*((x2)**4)+-0.3515))))*((0.1559*(sin(x0))+1.3771*(sin(x1))+-0.2269*(sin(x2))+0.0126)))	
40	0.00519529	0.15594162	0.15594113	0.00004738	(((((-0.1142*(x0)+0.8142*(x1)+0.1158*(x2)+-0.6039))*((-0.0836*((x0)**4)+1.6922*((x1)**4)+-0.0920*((x2)**4)+-0.3515))))*((0.1559*(sin(x0))+1.3771*(sin(x1))+-0.2269*(sin(x2))+0.0126)))	
41	0.02247966	0.15584812	0.15407149	0.00004738	(((((-0.1142*(x0)+0.8142*(x1)+0.1158*(x2)+-0.6039))*((-0.0836*((x0)**4)+1.6922*((x1)**4)+-0.0920*((x2)**4)+-0.3515))))*((0.1559*(sin(x0))+1.3771*(sin(x1))+-0.2269*(sin(x2))+0.0126)))	
42	0.02675004	0.15578711	0.15462807	0.00004738	(((((-0.1142*(x0)+0.8142*(x1)+0.1158*(x2)+-0.6039))*((-0.0836*((x0)**4)+1.6922*((x1)**4)+-0.0920*((x2)**4)+-0.3515))))*((0.1559*(sin(x0))+1.3771*(sin(x1))+-0.2269*(sin(x2))+0.0126)))	
43	0.00398039	0.15583208	0.15668654	0.00004738	(((((-0.1142*(x0)+0.8142*(x1)+0.1158*(x2)+-0.6039))*((-0.0836*((x0)**4)+1.6922*((x1)**4)+-0.0920*((x2)**4)+-0.3515))))*((0.1559*(sin(x0))+1.3771*(sin(x1))+-0.2269*(sin(x2))+0.0126)))	
44	0.00383527	0.15591416	0.15747361	0.00004738	(((((-0.1142*(x0)+0.8142*(x1)+0.1158*(x2)+-0.6039))*((-0.0836*((x0)**4)+1.6922*((x1)**4)+-0.0920*((x2)**4)+-0.3515))))*((0.1559*(sin(x0))+1.3771*(sin(x1))+-0.2269*(sin(x2))+0.0126)))	
45	0.00523484	0.15592274	0.15608583	0.00004738	(((((-0.1142*(x0)+0.8142*(x1)+0.1158*(x2)+-0.6039))*((-0.0836*((x0)**4)+1.6922*((x1)**4)+-0.0920*((x2)**4)+-0.3515))))*((0.1559*(sin(x0))+1.3771*(sin(x1))+-0.2269*(sin(x2))+0.0126)))	
46	0.00540784	0.15594999	0.15646780	0.00004738	(((((-0.1142*(x0)+0.8142*(x1)+0.1158*(x2)+-0.6039))*((-0.0836*((x0)**4)+1.6922*((x1)**4)+-0.0920*((x2)**4)+-0.3515))))*((0.1559*(sin(x0))+1.3771*(sin(x1))+-0.2269*(sin(x2))+0.0126)))	
47	0.02393398	0.15578608	0.15267153	0.00004738	(((((-0.1142*(x0)+0.8142*(x1)+0.1158*(x2)+-0.6039))*((-0.0836*((x0)**4)+1.6922*((x1)**4)+-0.0920*((x2)**4)+-0.3515))))*((0.1559*(sin(x0))+1.3771*(sin(x1))+-0.2269*(sin(x2))+0.0126)))	
48	0.00826028	0.15582524	0.15656905	0.00004738	(((((-0.1142*(x0)+0.8142*(x1)+0.1158*(x2)+-0.6039))*((-0.0836*((x0)**4)+1.6922*((x1)**4)+-0.0920*((x2)**4)+-0.3515))))*((0.1559*(sin(x0))+1.3771*(sin(x1))+-0.2269*(sin(x2))+0.0126)))	
