iteration	loss	baseline	error	formula	error	
1	0.01132463	0.15418442	0.15418442	0.00004637	(((((-0.0495*(sin(x0))+0.1841*(sin(x1))+0.1531*(sin(x2))+0.0452))-((-0.1164*((x0)**2)+0.4038*((x1)**2)+0.0712*((x2)**2)+0.0304))))*((-0.0995*((x0)**4)+-0.1670*((x1)**4)+0.1093*((x2)**4)+0.2406)))	
2	0.00485653	0.15439239	0.15834379	0.00004601	(((((-0.2842*(cos(x0))+-0.2711*(cos(x1))+0.1011*(cos(x2))+-0.1987))*((-0.0506*(x0)+-0.6359*(x1)+-0.0473*(x2)+-0.0152))))*((0.0671*(sin(x0))+-0.5597*(sin(x1))+0.0198*(sin(x2))+0.3100)))	
3	0.00420444	0.15456088	0.15776213	0.00004600	(((((0.0694*((x0)**3)+-0.1668*((x1)**3)+0.0798*((x2)**3)+-0.0544))-((0.0539*((x0)**3)+0.1152*((x1)**3)+0.0842*((x2)**3)+-0.0511))))-((-0.0454*(sin(x0))+-0.0675*(sin(x1))+-0.0148*(sin(x2))+-0.0075)))	
4	0.00425708	0.15471752	0.15769361	0.00004600	(((((0.0694*((x0)**3)+-0.1668*((x1)**3)+0.0798*((x2)**3)+-0.0544))-((0.0539*((x0)**3)+0.1152*((x1)**3)+0.0842*((x2)**3)+-0.0511))))-((-0.0454*(sin(x0))+-0.0675*(sin(x1))+-0.0148*(sin(x2))+-0.0075)))	
5	0.01399985	0.15486719	0.15771101	0.00004600	(((((0.0694*((x0)**3)+-0.1668*((x1)**3)+0.0798*((x2)**3)+-0.0544))-((0.0539*((x0)**3)+0.1152*((x1)**3)+0.0842*((x2)**3)+-0.0511))))-((-0.0454*(sin(x0))+-0.0675*(sin(x1))+-0.0148*(sin(x2))+-0.0075)))	
6	0.01193091	0.15502177	0.15795882	0.00004600	(((((0.0694*((x0)**3)+-0.1668*((x1)**3)+0.0798*((x2)**3)+-0.0544))-((0.0539*((x0)**3)+0.1152*((x1)**3)+0.0842*((x2)**3)+-0.0511))))-((-0.0454*(sin(x0))+-0.0675*(sin(x1))+-0.0148*(sin(x2))+-0.0075)))	
7	0.01023184	0.15513429	0.15727226	0.00004577	(((((0.1322*(sin(x0))+0.3113*(sin(x1))+-0.0075*(sin(x2))+0.0632))*((-0.0124*(1)+0.1783*(1)+0.1218*(1)+0.1767))))+((-0.0057*((x0)**2)+-0.2845*((x1)**2)+0.0080*((x2)**2)+-0.0259)))	
8	0.00861885	0.15520117	0.15647160	0.00004577	(((((0.1322*(sin(x0))+0.3113*(sin(x1))+-0.0075*(sin(x2))+0.0632))*((-0.0124*(1)+0.1783*(1)+0.1218*(1)+0.1767))))+((-0.0057*((x0)**2)+-0.2845*((x1)**2)+0.0080*((x2)**2)+-0.0259)))	
9	0.00296098	0.15522742	0.15572633	0.00004577	(((((0.1322*(sin(x0))+0.3113*(sin(x1))+-0.0075*(sin(x2))+0.0632))*((-0.0124*(1)+0.1783*(1)+0.1218*(1)+0.1767))))+((-0.0057*((x0)**2)+-0.2845*((x1)**2)+0.0080*((x2)**2)+-0.0259)))	
10	0.00548621	0.15532014	0.15708177	0.00004577	(((((0.1322*(sin(x0))+0.3113*(sin(x1))+-0.0075*(sin(x2))+0.0632))*((-0.0124*(1)+0.1783*(1)+0.1218*(1)+0.1767))))+((-0.0057*((x0)**2)+-0.2845*((x1)**2)+0.0080*((x2)**2)+-0.0259)))	
11	0.02081688	0.15540062	0.15692966	0.00004560	(((((-0.1451*(cos(x0))+-0.5260*(cos(x1))+0.0581*(cos(x2))+-0.0005))*((-0.0992*(x0)+0.6963*(x1)+-0.0140*(x2)+-0.3979))))*((0.2531*(sin(x0))+0.8466*(sin(x1))+-0.0859*(sin(x2))+0.0125)))	
12	0.00717925	0.15549728	0.15733376	0.00004560	(((((-0.1451*(cos(x0))+-0.5260*(cos(x1))+0.0581*(cos(x2))+-0.0005))*((-0.0992*(x0)+0.6963*(x1)+-0.0140*(x2)+-0.3979))))*((0.2531*(sin(x0))+0.8466*(sin(x1))+-0.0859*(sin(x2))+0.0125)))	
13	0.01040905	0.15558282	0.15720788	0.00004560	(((((-0.1451*(cos(x0))+-0.5260*(cos(x1))+0.0581*(cos(x2))+-0.0005))*((-0.0992*(x0)+0.6963*(x1)+-0.0140*(x2)+-0.3979))))*((0.2531*(sin(x0))+0.8466*(sin(x1))+-0.0859*(sin(x2))+0.0125)))	
14	0.01075455	0.15570447	0.15801568	0.00004560	(((((-0.1451*(cos(x0))+-0.5260*(cos(x1))+0.0581*(cos(x2))+-0.0005))*((-0.0992*(x0)+0.6963*(x1)+-0.0140*(x2)+-0.3979))))*((0.2531*(sin(x0))+0.8466*(sin(x1))+-0.0859*(sin(x2))+0.0125)))	
15	0.00834873	0.15577145	0.15704423	0.00004560	(((((-0.1451*(cos(x0))+-0.5260*(cos(x1))+0.0581*(cos(x2))+-0.0005))*((-0.0992*(x0)+0.6963*(x1)+-0.0140*(x2)+-0.3979))))*((0.2531*(sin(x0))+0.8466*(sin(x1))+-0.0859*(sin(x2))+0.0125)))	
16	0.00320286	0.15589149	0.15817238	0.00004560	(((((-0.1451*(cos(x0))+-0.5260*(cos(x1))+0.0581*(cos(x2))+-0.0005))*((-0.0992*(x0)+0.6963*(x1)+-0.0140*(x2)+-0.3979))))*((0.2531*(sin(x0))+0.8466*(sin(x1))+-0.0859*(sin(x2))+0.0125)))	
17	0.03615519	0.15584908	0.15504338	0.00004560	(((((-0.1451*(cos(x0))+-0.5260*(cos(x1))+0.0581*(cos(x2))+-0.0005))*((-0.0992*(x0)+0.6963*(x1)+-0.0140*(x2)+-0.3979))))*((0.2531*(sin(x0))+0.8466*(sin(x1))+-0.0859*(sin(x2))+0.0125)))	
18	0.00666995	0.15595880	0.15804365	0.00004560	(((((-0.1451*(cos(x0))+-0.5260*(cos(x1))+0.0581*(cos(x2))+-0.0005))*((-0.0992*(x0)+0.6963*(x1)+-0.0140*(x2)+-0.3979))))*((0.2531*(sin(x0))+0.8466*(sin(x1))+-0.0859*(sin(x2))+0.0125)))	
19	0.00953209	0.15609948	0.15877238	0.00004560	(((((-0.1451*(cos(x0))+-0.5260*(cos(x1))+0.0581*(cos(x2))+-0.0005))*((-0.0992*(x0)+0.6963*(x1)+-0.0140*(x2)+-0.3979))))*((0.2531*(sin(x0))+0.8466*(sin(x1))+-0.0859*(sin(x2))+0.0125)))	
