iteration	loss	baseline	error	formula	error	
1	0.52947444	0.19355451	0.19355451	0.00000333	(((((0.1237*(cos(x0))+0.1377*(cos(x1))+0.1667*(cos(x2))+0.1367*(cos(x3))+0.1019))*((-0.3922*((x0)**3)+-0.1000*((x1)**3)+-1.3613*((x2)**3)+-0.2036*((x3)**3)+0.0143))))+((0.1836*(sin(x0))+-0.9710*(sin(x1))+0.3619*(sin(x2))+-0.0492*(sin(x3))+-0.0311)))	
2	0.34022981	0.19391769	0.20081811	0.00000333	(((((0.1237*(cos(x0))+0.1377*(cos(x1))+0.1667*(cos(x2))+0.1367*(cos(x3))+0.1019))*((-0.3922*((x0)**3)+-0.1000*((x1)**3)+-1.3613*((x2)**3)+-0.2036*((x3)**3)+0.0143))))+((0.1836*(sin(x0))+-0.9710*(sin(x1))+0.3619*(sin(x2))+-0.0492*(sin(x3))+-0.0311)))	
3	0.62233186	0.19394444	0.19445276	0.00000333	(((((0.1237*(cos(x0))+0.1377*(cos(x1))+0.1667*(cos(x2))+0.1367*(cos(x3))+0.1019))*((-0.3922*((x0)**3)+-0.1000*((x1)**3)+-1.3613*((x2)**3)+-0.2036*((x3)**3)+0.0143))))+((0.1836*(sin(x0))+-0.9710*(sin(x1))+0.3619*(sin(x2))+-0.0492*(sin(x3))+-0.0311)))	
4	0.53798115	0.19486515	0.21235871	0.00000228	(((((-0.1035*(sin(x0))+0.5441*(sin(x1))+-0.7379*(sin(x2))+-0.3476*(sin(x3))+-0.2408))*((-0.5758*(x0)+1.0724*(x1)+-0.4268*(x2)+0.0751*(x3)+-0.0557))))+((-0.1943*((x0)**2)+-1.1243*((x1)**2)+-0.1730*((x2)**2)+-0.1093*((x3)**2)+-0.0739)))	
5	0.54145157	0.19539441	0.20545046	0.00000140	(((((-0.6913*((x0)**3)+0.2429*((x1)**3)+-1.0828*((x2)**3)+-0.0949*((x3)**3)+0.0010))+((0.3614*(x0)+-1.8340*(x1)+0.5098*(x2)+-0.2121*(x3)+0.0225))))*((0.2275*(cos(x0))+0.1598*(cos(x1))+-0.1383*(cos(x2))+0.4684*(cos(x3))+-0.1327)))	
6	0.62388545	0.19584534	0.20441304	0.00000140	(((((-0.6913*((x0)**3)+0.2429*((x1)**3)+-1.0828*((x2)**3)+-0.0949*((x3)**3)+0.0010))+((0.3614*(x0)+-1.8340*(x1)+0.5098*(x2)+-0.2121*(x3)+0.0225))))*((0.2275*(cos(x0))+0.1598*(cos(x1))+-0.1383*(cos(x2))+0.4684*(cos(x3))+-0.1327)))	
7	0.45199242	0.19528434	0.18462540	0.00000140	(((((-0.6913*((x0)**3)+0.2429*((x1)**3)+-1.0828*((x2)**3)+-0.0949*((x3)**3)+0.0010))+((0.3614*(x0)+-1.8340*(x1)+0.5098*(x2)+-0.2121*(x3)+0.0225))))*((0.2275*(cos(x0))+0.1598*(cos(x1))+-0.1383*(cos(x2))+0.4684*(cos(x3))+-0.1327)))	
8	0.46619281	0.19512865	0.19217075	0.00000140	(((((-0.6913*((x0)**3)+0.2429*((x1)**3)+-1.0828*((x2)**3)+-0.0949*((x3)**3)+0.0010))+((0.3614*(x0)+-1.8340*(x1)+0.5098*(x2)+-0.2121*(x3)+0.0225))))*((0.2275*(cos(x0))+0.1598*(cos(x1))+-0.1383*(cos(x2))+0.4684*(cos(x3))+-0.1327)))	
9	0.51415265	0.19453357	0.18322717	0.00000140	(((((-0.6913*((x0)**3)+0.2429*((x1)**3)+-1.0828*((x2)**3)+-0.0949*((x3)**3)+0.0010))+((0.3614*(x0)+-1.8340*(x1)+0.5098*(x2)+-0.2121*(x3)+0.0225))))*((0.2275*(cos(x0))+0.1598*(cos(x1))+-0.1383*(cos(x2))+0.4684*(cos(x3))+-0.1327)))	
10	0.60154897	0.19413653	0.18659285	0.00000140	(((((-0.6913*((x0)**3)+0.2429*((x1)**3)+-1.0828*((x2)**3)+-0.0949*((x3)**3)+0.0010))+((0.3614*(x0)+-1.8340*(x1)+0.5098*(x2)+-0.2121*(x3)+0.0225))))*((0.2275*(cos(x0))+0.1598*(cos(x1))+-0.1383*(cos(x2))+0.4684*(cos(x3))+-0.1327)))	
11	0.59177363	0.19511676	0.21374117	0.00000100	(((((-0.4134*(x0)+-1.0262*(x1)+-0.9285*(x2)+-0.1520*(x3)+-0.1645))*((-0.1846*(sin(x0))+1.3462*(sin(x1))+-0.5879*(sin(x2))+0.2643*(sin(x3))+0.1476))))-((0.1997*((x0)**3)+-0.8995*((x1)**3)+0.8596*((x2)**3)+0.0693*((x3)**3)+-0.1168)))	
