iteration	loss	baseline	error	formula	error	
1	0.19856361	0.18214741	0.18214741	0.00001144	(((((0.7292*(exp(x0))+-1.7870*(exp(x1))+0.4686*(exp(x2))+0.2026*(exp(x3))+0.2542*(exp(x4))+-0.1764))*((-3.4066*((x0)**4)+-0.5073*((x1)**4)+-1.8237*((x2)**4)+0.5908*((x3)**4)+1.0327*((x4)**4)+-0.2862))))*((0.4792*((x0)**3)+0.1989*((x1)**3)+0.5100*((x2)**3)+-0.6158*((x3)**3)+-2.2218*((x4)**3)+-0.6426)))	
2	0.33874768	0.18166988	0.17259660	0.00001144	(((((0.7292*(exp(x0))+-1.7870*(exp(x1))+0.4686*(exp(x2))+0.2026*(exp(x3))+0.2542*(exp(x4))+-0.1764))*((-3.4066*((x0)**4)+-0.5073*((x1)**4)+-1.8237*((x2)**4)+0.5908*((x3)**4)+1.0327*((x4)**4)+-0.2862))))*((0.4792*((x0)**3)+0.1989*((x1)**3)+0.5100*((x2)**3)+-0.6158*((x3)**3)+-2.2218*((x4)**3)+-0.6426)))	
3	0.09387806	0.18293776	0.20702754	0.00000701	(((((0.3355*(x0)+2.1357*(x1)+1.1817*(x2)+-0.2305*(x3)+-0.2402*(x4)+0.2116))*((-0.4483*(sin(x0))+2.2928*(sin(x1))+-0.2086*(sin(x2))+0.4404*(sin(x3))+0.3871*(sin(x4))+-0.2305))))*((0.4647*(cos(x0))+-1.1962*(cos(x1))+-0.3215*(cos(x2))+0.0769*(cos(x3))+0.5994*(cos(x4))+0.0690)))	
4	0.02782346	0.18391305	0.20244347	0.00000701	(((((0.3355*(x0)+2.1357*(x1)+1.1817*(x2)+-0.2305*(x3)+-0.2402*(x4)+0.2116))*((-0.4483*(sin(x0))+2.2928*(sin(x1))+-0.2086*(sin(x2))+0.4404*(sin(x3))+0.3871*(sin(x4))+-0.2305))))*((0.4647*(cos(x0))+-1.1962*(cos(x1))+-0.3215*(cos(x2))+0.0769*(cos(x3))+0.5994*(cos(x4))+0.0690)))	
5	0.03613384	0.18476999	0.20105195	0.00000701	(((((0.3355*(x0)+2.1357*(x1)+1.1817*(x2)+-0.2305*(x3)+-0.2402*(x4)+0.2116))*((-0.4483*(sin(x0))+2.2928*(sin(x1))+-0.2086*(sin(x2))+0.4404*(sin(x3))+0.3871*(sin(x4))+-0.2305))))*((0.4647*(cos(x0))+-1.1962*(cos(x1))+-0.3215*(cos(x2))+0.0769*(cos(x3))+0.5994*(cos(x4))+0.0690)))	
6	0.18434902	0.18475462	0.18446270	0.00000701	(((((0.3355*(x0)+2.1357*(x1)+1.1817*(x2)+-0.2305*(x3)+-0.2402*(x4)+0.2116))*((-0.4483*(sin(x0))+2.2928*(sin(x1))+-0.2086*(sin(x2))+0.4404*(sin(x3))+0.3871*(sin(x4))+-0.2305))))*((0.4647*(cos(x0))+-1.1962*(cos(x1))+-0.3215*(cos(x2))+0.0769*(cos(x3))+0.5994*(cos(x4))+0.0690)))	
7	0.07212659	0.18557441	0.20115058	0.00000701	(((((0.3355*(x0)+2.1357*(x1)+1.1817*(x2)+-0.2305*(x3)+-0.2402*(x4)+0.2116))*((-0.4483*(sin(x0))+2.2928*(sin(x1))+-0.2086*(sin(x2))+0.4404*(sin(x3))+0.3871*(sin(x4))+-0.2305))))*((0.4647*(cos(x0))+-1.1962*(cos(x1))+-0.3215*(cos(x2))+0.0769*(cos(x3))+0.5994*(cos(x4))+0.0690)))	
8	0.09958437	0.18609183	0.19592296	0.00000701	(((((0.3355*(x0)+2.1357*(x1)+1.1817*(x2)+-0.2305*(x3)+-0.2402*(x4)+0.2116))*((-0.4483*(sin(x0))+2.2928*(sin(x1))+-0.2086*(sin(x2))+0.4404*(sin(x3))+0.3871*(sin(x4))+-0.2305))))*((0.4647*(cos(x0))+-1.1962*(cos(x1))+-0.3215*(cos(x2))+0.0769*(cos(x3))+0.5994*(cos(x4))+0.0690)))	
9	0.18670830	0.18644533	0.19316182	0.00000701	(((((0.3355*(x0)+2.1357*(x1)+1.1817*(x2)+-0.2305*(x3)+-0.2402*(x4)+0.2116))*((-0.4483*(sin(x0))+2.2928*(sin(x1))+-0.2086*(sin(x2))+0.4404*(sin(x3))+0.3871*(sin(x4))+-0.2305))))*((0.4647*(cos(x0))+-1.1962*(cos(x1))+-0.3215*(cos(x2))+0.0769*(cos(x3))+0.5994*(cos(x4))+0.0690)))	
10	0.23333763	0.18668532	0.19124544	0.00000572	(((((0.3562*(sin(x0))+-0.8010*(sin(x1))+0.2844*(sin(x2))+-0.1443*(sin(x3))+-0.1422*(sin(x4))+-0.1627))*((0.4421*(sin(x0))+0.7546*(sin(x1))+0.5014*(sin(x2))+0.0581*(sin(x3))+0.0368*(sin(x4))+0.1954))))+((-0.1200*(0)+0.0667*(0)+-0.0160*(0)+-0.1456*(0)+-0.2079*(0)+0.0725)))	
11	0.26845795	0.18666299	0.18623871	0.00000572	(((((0.3562*(sin(x0))+-0.8010*(sin(x1))+0.2844*(sin(x2))+-0.1443*(sin(x3))+-0.1422*(sin(x4))+-0.1627))*((0.4421*(sin(x0))+0.7546*(sin(x1))+0.5014*(sin(x2))+0.0581*(sin(x3))+0.0368*(sin(x4))+0.1954))))+((-0.1200*(0)+0.0667*(0)+-0.0160*(0)+-0.1456*(0)+-0.2079*(0)+0.0725)))	
12	0.31356153	0.18639648	0.18133274	0.00000572	(((((0.3562*(sin(x0))+-0.8010*(sin(x1))+0.2844*(sin(x2))+-0.1443*(sin(x3))+-0.1422*(sin(x4))+-0.1627))*((0.4421*(sin(x0))+0.7546*(sin(x1))+0.5014*(sin(x2))+0.0581*(sin(x3))+0.0368*(sin(x4))+0.1954))))+((-0.1200*(0)+0.0667*(0)+-0.0160*(0)+-0.1456*(0)+-0.2079*(0)+0.0725)))	
13	0.13505743	0.18681480	0.19476305	0.00000572	(((((0.3562*(sin(x0))+-0.8010*(sin(x1))+0.2844*(sin(x2))+-0.1443*(sin(x3))+-0.1422*(sin(x4))+-0.1627))*((0.4421*(sin(x0))+0.7546*(sin(x1))+0.5014*(sin(x2))+0.0581*(sin(x3))+0.0368*(sin(x4))+0.1954))))+((-0.1200*(0)+0.0667*(0)+-0.0160*(0)+-0.1456*(0)+-0.2079*(0)+0.0725)))	
14	0.04184605	0.18731470	0.19681309	0.00000572	(((((0.3562*(sin(x0))+-0.8010*(sin(x1))+0.2844*(sin(x2))+-0.1443*(sin(x3))+-0.1422*(sin(x4))+-0.1627))*((0.4421*(sin(x0))+0.7546*(sin(x1))+0.5014*(sin(x2))+0.0581*(sin(x3))+0.0368*(sin(x4))+0.1954))))+((-0.1200*(0)+0.0667*(0)+-0.0160*(0)+-0.1456*(0)+-0.2079*(0)+0.0725)))	
15	0.11390700	0.18848741	0.21076880	0.00000551	(((((3.2285*((x0)**4)+-4.0854*((x1)**4)+0.3645*((x2)**4)+-0.4208*((x3)**4)+-0.3004*((x4)**4)+-0.1518))+((-0.6866*(x0)+1.2957*(x1)+-0.4045*(x2)+0.1492*(x3)+0.0876*(x4)+0.2205))))*((-0.4416*(x0)+-0.8625*(x1)+-0.4996*(x2)+0.1090*(x3)+0.1180*(x4)+-0.0941)))	
16	0.05804610	0.18873301	0.19339958	0.00000551	(((((3.2285*((x0)**4)+-4.0854*((x1)**4)+0.3645*((x2)**4)+-0.4208*((x3)**4)+-0.3004*((x4)**4)+-0.1518))+((-0.6866*(x0)+1.2957*(x1)+-0.4045*(x2)+0.1492*(x3)+0.0876*(x4)+0.2205))))*((-0.4416*(x0)+-0.8625*(x1)+-0.4996*(x2)+0.1090*(x3)+0.1180*(x4)+-0.0941)))	
17	0.04163589	0.18945004	0.20307370	0.00000551	(((((3.2285*((x0)**4)+-4.0854*((x1)**4)+0.3645*((x2)**4)+-0.4208*((x3)**4)+-0.3004*((x4)**4)+-0.1518))+((-0.6866*(x0)+1.2957*(x1)+-0.4045*(x2)+0.1492*(x3)+0.0876*(x4)+0.2205))))*((-0.4416*(x0)+-0.8625*(x1)+-0.4996*(x2)+0.1090*(x3)+0.1180*(x4)+-0.0941)))	
18	0.11416053	0.18940389	0.18852717	0.00000551	(((((3.2285*((x0)**4)+-4.0854*((x1)**4)+0.3645*((x2)**4)+-0.4208*((x3)**4)+-0.3004*((x4)**4)+-0.1518))+((-0.6866*(x0)+1.2957*(x1)+-0.4045*(x2)+0.1492*(x3)+0.0876*(x4)+0.2205))))*((-0.4416*(x0)+-0.8625*(x1)+-0.4996*(x2)+0.1090*(x3)+0.1180*(x4)+-0.0941)))	
