iteration	loss	baseline	error	formula	error	
1	0.00946488	0.16590072	0.16590072	0.00003613	(((((-0.2345*(x0)+-0.3282*(x1)+-0.2812*(x2)+0.0738))*((0.2927*((x0)**3)+-0.1562*((x1)**3)+0.1810*((x2)**3)+-0.2768))))*((0.0033*(x0)+0.3029*(x1)+0.3655*(x2)+-0.0590)))	
2	0.01519666	0.16586570	0.16520062	0.00003613	(((((-0.2345*(x0)+-0.3282*(x1)+-0.2812*(x2)+0.0738))*((0.2927*((x0)**3)+-0.1562*((x1)**3)+0.1810*((x2)**3)+-0.2768))))*((0.0033*(x0)+0.3029*(x1)+0.3655*(x2)+-0.0590)))	
3	0.01364680	0.16566651	0.16188169	0.00003528	(((((0.2184*((x0)**2)+-0.4219*((x1)**2)+-0.0651*((x2)**2)+0.1239))*((0.1248*((x0)**4)+-0.1513*((x1)**4)+0.3333*((x2)**4)+-0.4017))))-((-0.0031*(cos(x0))+-0.0211*(cos(x1))+-0.0681*(cos(x2))+0.0423)))	
4	0.00678105	0.16568083	0.16595291	0.00003528	(((((0.2184*((x0)**2)+-0.4219*((x1)**2)+-0.0651*((x2)**2)+0.1239))*((0.1248*((x0)**4)+-0.1513*((x1)**4)+0.3333*((x2)**4)+-0.4017))))-((-0.0031*(cos(x0))+-0.0211*(cos(x1))+-0.0681*(cos(x2))+0.0423)))	
5	0.01553436	0.16545939	0.16125226	0.00003528	(((((0.2184*((x0)**2)+-0.4219*((x1)**2)+-0.0651*((x2)**2)+0.1239))*((0.1248*((x0)**4)+-0.1513*((x1)**4)+0.3333*((x2)**4)+-0.4017))))-((-0.0031*(cos(x0))+-0.0211*(cos(x1))+-0.0681*(cos(x2))+0.0423)))	
6	0.01242812	0.16553025	0.16687660	0.00003528	(((((0.2184*((x0)**2)+-0.4219*((x1)**2)+-0.0651*((x2)**2)+0.1239))*((0.1248*((x0)**4)+-0.1513*((x1)**4)+0.3333*((x2)**4)+-0.4017))))-((-0.0031*(cos(x0))+-0.0211*(cos(x1))+-0.0681*(cos(x2))+0.0423)))	
7	0.01087870	0.16557021	0.16632950	0.00003528	(((((0.2184*((x0)**2)+-0.4219*((x1)**2)+-0.0651*((x2)**2)+0.1239))*((0.1248*((x0)**4)+-0.1513*((x1)**4)+0.3333*((x2)**4)+-0.4017))))-((-0.0031*(cos(x0))+-0.0211*(cos(x1))+-0.0681*(cos(x2))+0.0423)))	
8	0.02033201	0.16544327	0.16303161	0.00003528	(((((0.2184*((x0)**2)+-0.4219*((x1)**2)+-0.0651*((x2)**2)+0.1239))*((0.1248*((x0)**4)+-0.1513*((x1)**4)+0.3333*((x2)**4)+-0.4017))))-((-0.0031*(cos(x0))+-0.0211*(cos(x1))+-0.0681*(cos(x2))+0.0423)))	
9	0.01525383	0.16541198	0.16481759	0.00003528	(((((0.2184*((x0)**2)+-0.4219*((x1)**2)+-0.0651*((x2)**2)+0.1239))*((0.1248*((x0)**4)+-0.1513*((x1)**4)+0.3333*((x2)**4)+-0.4017))))-((-0.0031*(cos(x0))+-0.0211*(cos(x1))+-0.0681*(cos(x2))+0.0423)))	
10	0.01403849	0.16548760	0.16692454	0.00003528	(((((0.2184*((x0)**2)+-0.4219*((x1)**2)+-0.0651*((x2)**2)+0.1239))*((0.1248*((x0)**4)+-0.1513*((x1)**4)+0.3333*((x2)**4)+-0.4017))))-((-0.0031*(cos(x0))+-0.0211*(cos(x1))+-0.0681*(cos(x2))+0.0423)))	
11	0.01514045	0.16555357	0.16680701	0.00003528	(((((0.2184*((x0)**2)+-0.4219*((x1)**2)+-0.0651*((x2)**2)+0.1239))*((0.1248*((x0)**4)+-0.1513*((x1)**4)+0.3333*((x2)**4)+-0.4017))))-((-0.0031*(cos(x0))+-0.0211*(cos(x1))+-0.0681*(cos(x2))+0.0423)))	
12	0.01650702	0.16522497	0.15898165	0.00003528	(((((0.2184*((x0)**2)+-0.4219*((x1)**2)+-0.0651*((x2)**2)+0.1239))*((0.1248*((x0)**4)+-0.1513*((x1)**4)+0.3333*((x2)**4)+-0.4017))))-((-0.0031*(cos(x0))+-0.0211*(cos(x1))+-0.0681*(cos(x2))+0.0423)))	
13	0.00943365	0.16494472	0.15961993	0.00003528	(((((0.2184*((x0)**2)+-0.4219*((x1)**2)+-0.0651*((x2)**2)+0.1239))*((0.1248*((x0)**4)+-0.1513*((x1)**4)+0.3333*((x2)**4)+-0.4017))))-((-0.0031*(cos(x0))+-0.0211*(cos(x1))+-0.0681*(cos(x2))+0.0423)))	
14	0.01277907	0.16499318	0.16591409	0.00003528	(((((0.2184*((x0)**2)+-0.4219*((x1)**2)+-0.0651*((x2)**2)+0.1239))*((0.1248*((x0)**4)+-0.1513*((x1)**4)+0.3333*((x2)**4)+-0.4017))))-((-0.0031*(cos(x0))+-0.0211*(cos(x1))+-0.0681*(cos(x2))+0.0423)))	
15	0.02953036	0.16467656	0.15866069	0.00003528	(((((0.2184*((x0)**2)+-0.4219*((x1)**2)+-0.0651*((x2)**2)+0.1239))*((0.1248*((x0)**4)+-0.1513*((x1)**4)+0.3333*((x2)**4)+-0.4017))))-((-0.0031*(cos(x0))+-0.0211*(cos(x1))+-0.0681*(cos(x2))+0.0423)))	
16	0.01618781	0.16477150	0.16657524	0.00003528	(((((0.2184*((x0)**2)+-0.4219*((x1)**2)+-0.0651*((x2)**2)+0.1239))*((0.1248*((x0)**4)+-0.1513*((x1)**4)+0.3333*((x2)**4)+-0.4017))))-((-0.0031*(cos(x0))+-0.0211*(cos(x1))+-0.0681*(cos(x2))+0.0423)))	
17	0.01189950	0.16481781	0.16569798	0.00003528	(((((0.2184*((x0)**2)+-0.4219*((x1)**2)+-0.0651*((x2)**2)+0.1239))*((0.1248*((x0)**4)+-0.1513*((x1)**4)+0.3333*((x2)**4)+-0.4017))))-((-0.0031*(cos(x0))+-0.0211*(cos(x1))+-0.0681*(cos(x2))+0.0423)))	
18	0.01587955	0.16462697	0.16100095	0.00003528	(((((0.2184*((x0)**2)+-0.4219*((x1)**2)+-0.0651*((x2)**2)+0.1239))*((0.1248*((x0)**4)+-0.1513*((x1)**4)+0.3333*((x2)**4)+-0.4017))))-((-0.0031*(cos(x0))+-0.0211*(cos(x1))+-0.0681*(cos(x2))+0.0423)))	
19	0.01876835	0.16468664	0.16582035	0.00003528	(((((0.2184*((x0)**2)+-0.4219*((x1)**2)+-0.0651*((x2)**2)+0.1239))*((0.1248*((x0)**4)+-0.1513*((x1)**4)+0.3333*((x2)**4)+-0.4017))))-((-0.0031*(cos(x0))+-0.0211*(cos(x1))+-0.0681*(cos(x2))+0.0423)))	
20	0.01780884	0.16453338	0.16162165	0.00003528	(((((0.2184*((x0)**2)+-0.4219*((x1)**2)+-0.0651*((x2)**2)+0.1239))*((0.1248*((x0)**4)+-0.1513*((x1)**4)+0.3333*((x2)**4)+-0.4017))))-((-0.0031*(cos(x0))+-0.0211*(cos(x1))+-0.0681*(cos(x2))+0.0423)))	
21	0.00832645	0.16453448	0.16455574	0.00003528	(((((0.2184*((x0)**2)+-0.4219*((x1)**2)+-0.0651*((x2)**2)+0.1239))*((0.1248*((x0)**4)+-0.1513*((x1)**4)+0.3333*((x2)**4)+-0.4017))))-((-0.0031*(cos(x0))+-0.0211*(cos(x1))+-0.0681*(cos(x2))+0.0423)))	
22	0.00680211	0.16459250	0.16569503	0.00003528	(((((0.2184*((x0)**2)+-0.4219*((x1)**2)+-0.0651*((x2)**2)+0.1239))*((0.1248*((x0)**4)+-0.1513*((x1)**4)+0.3333*((x2)**4)+-0.4017))))-((-0.0031*(cos(x0))+-0.0211*(cos(x1))+-0.0681*(cos(x2))+0.0423)))	
23	0.01469864	0.16454989	0.16374014	0.00003528	(((((0.2184*((x0)**2)+-0.4219*((x1)**2)+-0.0651*((x2)**2)+0.1239))*((0.1248*((x0)**4)+-0.1513*((x1)**4)+0.3333*((x2)**4)+-0.4017))))-((-0.0031*(cos(x0))+-0.0211*(cos(x1))+-0.0681*(cos(x2))+0.0423)))	
24	0.01421946	0.16459107	0.16537368	0.00003528	(((((0.2184*((x0)**2)+-0.4219*((x1)**2)+-0.0651*((x2)**2)+0.1239))*((0.1248*((x0)**4)+-0.1513*((x1)**4)+0.3333*((x2)**4)+-0.4017))))-((-0.0031*(cos(x0))+-0.0211*(cos(x1))+-0.0681*(cos(x2))+0.0423)))	
25	0.01461803	0.16452053	0.16318028	0.00003528	(((((0.2184*((x0)**2)+-0.4219*((x1)**2)+-0.0651*((x2)**2)+0.1239))*((0.1248*((x0)**4)+-0.1513*((x1)**4)+0.3333*((x2)**4)+-0.4017))))-((-0.0031*(cos(x0))+-0.0211*(cos(x1))+-0.0681*(cos(x2))+0.0423)))	
26	0.00939370	0.16462857	0.16668124	0.00003528	(((((0.2184*((x0)**2)+-0.4219*((x1)**2)+-0.0651*((x2)**2)+0.1239))*((0.1248*((x0)**4)+-0.1513*((x1)**4)+0.3333*((x2)**4)+-0.4017))))-((-0.0031*(cos(x0))+-0.0211*(cos(x1))+-0.0681*(cos(x2))+0.0423)))	
27	0.01930685	0.16470367	0.16613081	0.00003525	(((((-0.0118*((x0)**2)+0.2549*((x1)**2)+0.4649*((x2)**2)+0.0051))*((0.2771*((x0)**4)+0.1843*((x1)**4)+0.2240*((x2)**4)+-0.3438))))*((-0.5320*(x0)+-0.1936*(x1)+-0.1006*(x2)+-0.0302)))	
28	0.00616756	0.16475846	0.16579945	0.00003525	(((((-0.0118*((x0)**2)+0.2549*((x1)**2)+0.4649*((x2)**2)+0.0051))*((0.2771*((x0)**4)+0.1843*((x1)**4)+0.2240*((x2)**4)+-0.3438))))*((-0.5320*(x0)+-0.1936*(x1)+-0.1006*(x2)+-0.0302)))	
29	0.00987870	0.16481738	0.16593705	0.00003525	(((((-0.0118*((x0)**2)+0.2549*((x1)**2)+0.4649*((x2)**2)+0.0051))*((0.2771*((x0)**4)+0.1843*((x1)**4)+0.2240*((x2)**4)+-0.3438))))*((-0.5320*(x0)+-0.1936*(x1)+-0.1006*(x2)+-0.0302)))	
30	0.00947563	0.16492078	0.16688518	0.00003525	(((((-0.0118*((x0)**2)+0.2549*((x1)**2)+0.4649*((x2)**2)+0.0051))*((0.2771*((x0)**4)+0.1843*((x1)**4)+0.2240*((x2)**4)+-0.3438))))*((-0.5320*(x0)+-0.1936*(x1)+-0.1006*(x2)+-0.0302)))	
31	0.00750667	0.16499257	0.16635643	0.00003525	(((((-0.0118*((x0)**2)+0.2549*((x1)**2)+0.4649*((x2)**2)+0.0051))*((0.2771*((x0)**4)+0.1843*((x1)**4)+0.2240*((x2)**4)+-0.3438))))*((-0.5320*(x0)+-0.1936*(x1)+-0.1006*(x2)+-0.0302)))	
32	0.01717176	0.16494487	0.16403854	0.00003525	(((((-0.0118*((x0)**2)+0.2549*((x1)**2)+0.4649*((x2)**2)+0.0051))*((0.2771*((x0)**4)+0.1843*((x1)**4)+0.2240*((x2)**4)+-0.3438))))*((-0.5320*(x0)+-0.1936*(x1)+-0.1006*(x2)+-0.0302)))	
33	0.01743487	0.16489711	0.16398965	0.00003525	(((((-0.0118*((x0)**2)+0.2549*((x1)**2)+0.4649*((x2)**2)+0.0051))*((0.2771*((x0)**4)+0.1843*((x1)**4)+0.2240*((x2)**4)+-0.3438))))*((-0.5320*(x0)+-0.1936*(x1)+-0.1006*(x2)+-0.0302)))	
34	0.01090645	0.16482055	0.16336580	0.00003525	(((((-0.0118*((x0)**2)+0.2549*((x1)**2)+0.4649*((x2)**2)+0.0051))*((0.2771*((x0)**4)+0.1843*((x1)**4)+0.2240*((x2)**4)+-0.3438))))*((-0.5320*(x0)+-0.1936*(x1)+-0.1006*(x2)+-0.0302)))	
35	0.00924607	0.16490361	0.16648173	0.00003525	(((((-0.0118*((x0)**2)+0.2549*((x1)**2)+0.4649*((x2)**2)+0.0051))*((0.2771*((x0)**4)+0.1843*((x1)**4)+0.2240*((x2)**4)+-0.3438))))*((-0.5320*(x0)+-0.1936*(x1)+-0.1006*(x2)+-0.0302)))	
