iteration	loss	baseline	error	formula	error	
19	0.01850159	0.16469790	0.16513424	0.00003649	(((((0.2750*(cos(x0))+0.1014*(cos(x1))+-0.3361*(cos(x2))+0.1439))-((-0.0736*((x0)**4)+0.3038*((x1)**4)+0.3069*((x2)**4)+-0.1098))))*((-0.2466*((x0)**3)+0.7294*((x1)**3)+0.0818*((x2)**3)+0.0020)))	
20	0.00562597	0.16473626	0.16546522	0.00003649	(((((0.2750*(cos(x0))+0.1014*(cos(x1))+-0.3361*(cos(x2))+0.1439))-((-0.0736*((x0)**4)+0.3038*((x1)**4)+0.3069*((x2)**4)+-0.1098))))*((-0.2466*((x0)**3)+0.7294*((x1)**3)+0.0818*((x2)**3)+0.0020)))	
21	0.01292608	0.16464327	0.16287650	0.00003649	(((((0.2750*(cos(x0))+0.1014*(cos(x1))+-0.3361*(cos(x2))+0.1439))-((-0.0736*((x0)**4)+0.3038*((x1)**4)+0.3069*((x2)**4)+-0.1098))))*((-0.2466*((x0)**3)+0.7294*((x1)**3)+0.0818*((x2)**3)+0.0020)))	
22	0.00993527	0.16451718	0.16212137	0.00003649	(((((0.2750*(cos(x0))+0.1014*(cos(x1))+-0.3361*(cos(x2))+0.1439))-((-0.0736*((x0)**4)+0.3038*((x1)**4)+0.3069*((x2)**4)+-0.1098))))*((-0.2466*((x0)**3)+0.7294*((x1)**3)+0.0818*((x2)**3)+0.0020)))	
23	0.01058889	0.16454645	0.16510247	0.00003649	(((((0.2750*(cos(x0))+0.1014*(cos(x1))+-0.3361*(cos(x2))+0.1439))-((-0.0736*((x0)**4)+0.3038*((x1)**4)+0.3069*((x2)**4)+-0.1098))))*((-0.2466*((x0)**3)+0.7294*((x1)**3)+0.0818*((x2)**3)+0.0020)))	
24	0.01840472	0.16449931	0.16360357	0.00003649	(((((0.2750*(cos(x0))+0.1014*(cos(x1))+-0.3361*(cos(x2))+0.1439))-((-0.0736*((x0)**4)+0.3038*((x1)**4)+0.3069*((x2)**4)+-0.1098))))*((-0.2466*((x0)**3)+0.7294*((x1)**3)+0.0818*((x2)**3)+0.0020)))	
25	0.01947029	0.16431294	0.16077198	0.00003649	(((((0.2750*(cos(x0))+0.1014*(cos(x1))+-0.3361*(cos(x2))+0.1439))-((-0.0736*((x0)**4)+0.3038*((x1)**4)+0.3069*((x2)**4)+-0.1098))))*((-0.2466*((x0)**3)+0.7294*((x1)**3)+0.0818*((x2)**3)+0.0020)))	
26	0.00867394	0.16435543	0.16516279	0.00003649	(((((0.2750*(cos(x0))+0.1014*(cos(x1))+-0.3361*(cos(x2))+0.1439))-((-0.0736*((x0)**4)+0.3038*((x1)**4)+0.3069*((x2)**4)+-0.1098))))*((-0.2466*((x0)**3)+0.7294*((x1)**3)+0.0818*((x2)**3)+0.0020)))	
27	0.00310334	0.16436559	0.16455844	0.00003649	(((((0.2750*(cos(x0))+0.1014*(cos(x1))+-0.3361*(cos(x2))+0.1439))-((-0.0736*((x0)**4)+0.3038*((x1)**4)+0.3069*((x2)**4)+-0.1098))))*((-0.2466*((x0)**3)+0.7294*((x1)**3)+0.0818*((x2)**3)+0.0020)))	
28	0.01069234	0.16436668	0.16438748	0.00003649	(((((0.2750*(cos(x0))+0.1014*(cos(x1))+-0.3361*(cos(x2))+0.1439))-((-0.0736*((x0)**4)+0.3038*((x1)**4)+0.3069*((x2)**4)+-0.1098))))*((-0.2466*((x0)**3)+0.7294*((x1)**3)+0.0818*((x2)**3)+0.0020)))	
