iteration	loss	baseline	error	formula	error	
1	0.80476868	0.25966427	0.25966427	0.00000074	(((((-0.4192*(x0)+0.4342*(x1)+0.0038*(x2)+0.3974*(x3)+-0.0196))*((-0.0341*(x0)+0.4560*(x1)+1.5251*(x2)+0.1638*(x3)+0.3098))))+((-0.1044*((x0)**4)+-0.0976*((x1)**4)+0.6076*((x2)**4)+0.3875*((x3)**4)+0.0433)))	
2	0.35869354	0.25684676	0.20331387	0.00000074	(((((-0.4192*(x0)+0.4342*(x1)+0.0038*(x2)+0.3974*(x3)+-0.0196))*((-0.0341*(x0)+0.4560*(x1)+1.5251*(x2)+0.1638*(x3)+0.3098))))+((-0.1044*((x0)**4)+-0.0976*((x1)**4)+0.6076*((x2)**4)+0.3875*((x3)**4)+0.0433)))	
3	0.63479781	0.25570178	0.23394728	0.00000074	(((((-0.4192*(x0)+0.4342*(x1)+0.0038*(x2)+0.3974*(x3)+-0.0196))*((-0.0341*(x0)+0.4560*(x1)+1.5251*(x2)+0.1638*(x3)+0.3098))))+((-0.1044*((x0)**4)+-0.0976*((x1)**4)+0.6076*((x2)**4)+0.3875*((x3)**4)+0.0433)))	
4	0.60961568	0.25291514	0.19996889	0.00000074	(((((-0.4192*(x0)+0.4342*(x1)+0.0038*(x2)+0.3974*(x3)+-0.0196))*((-0.0341*(x0)+0.4560*(x1)+1.5251*(x2)+0.1638*(x3)+0.3098))))+((-0.1044*((x0)**4)+-0.0976*((x1)**4)+0.6076*((x2)**4)+0.3875*((x3)**4)+0.0433)))	
5	0.72138524	0.25060135	0.20663944	0.00000074	(((((-0.4192*(x0)+0.4342*(x1)+0.0038*(x2)+0.3974*(x3)+-0.0196))*((-0.0341*(x0)+0.4560*(x1)+1.5251*(x2)+0.1638*(x3)+0.3098))))+((-0.1044*((x0)**4)+-0.0976*((x1)**4)+0.6076*((x2)**4)+0.3875*((x3)**4)+0.0433)))	
6	0.66749632	0.24748839	0.18834226	0.00000074	(((((-0.4192*(x0)+0.4342*(x1)+0.0038*(x2)+0.3974*(x3)+-0.0196))*((-0.0341*(x0)+0.4560*(x1)+1.5251*(x2)+0.1638*(x3)+0.3098))))+((-0.1044*((x0)**4)+-0.0976*((x1)**4)+0.6076*((x2)**4)+0.3875*((x3)**4)+0.0433)))	
7	0.20734802	0.24595495	0.21681924	0.00000074	(((((-0.4192*(x0)+0.4342*(x1)+0.0038*(x2)+0.3974*(x3)+-0.0196))*((-0.0341*(x0)+0.4560*(x1)+1.5251*(x2)+0.1638*(x3)+0.3098))))+((-0.1044*((x0)**4)+-0.0976*((x1)**4)+0.6076*((x2)**4)+0.3875*((x3)**4)+0.0433)))	
8	0.46391740	0.24344112	0.19567855	0.00000074	(((((-0.4192*(x0)+0.4342*(x1)+0.0038*(x2)+0.3974*(x3)+-0.0196))*((-0.0341*(x0)+0.4560*(x1)+1.5251*(x2)+0.1638*(x3)+0.3098))))+((-0.1044*((x0)**4)+-0.0976*((x1)**4)+0.6076*((x2)**4)+0.3875*((x3)**4)+0.0433)))	
9	0.67143047	0.24045682	0.18375525	0.00000074	(((((-0.4192*(x0)+0.4342*(x1)+0.0038*(x2)+0.3974*(x3)+-0.0196))*((-0.0341*(x0)+0.4560*(x1)+1.5251*(x2)+0.1638*(x3)+0.3098))))+((-0.1044*((x0)**4)+-0.0976*((x1)**4)+0.6076*((x2)**4)+0.3875*((x3)**4)+0.0433)))	
10	0.68104553	0.24051473	0.24161477	0.00000074	(((((-0.4192*(x0)+0.4342*(x1)+0.0038*(x2)+0.3974*(x3)+-0.0196))*((-0.0341*(x0)+0.4560*(x1)+1.5251*(x2)+0.1638*(x3)+0.3098))))+((-0.1044*((x0)**4)+-0.0976*((x1)**4)+0.6076*((x2)**4)+0.3875*((x3)**4)+0.0433)))	
11	0.27709359	0.23978324	0.22588530	0.00000074	(((((-0.4192*(x0)+0.4342*(x1)+0.0038*(x2)+0.3974*(x3)+-0.0196))*((-0.0341*(x0)+0.4560*(x1)+1.5251*(x2)+0.1638*(x3)+0.3098))))+((-0.1044*((x0)**4)+-0.0976*((x1)**4)+0.6076*((x2)**4)+0.3875*((x3)**4)+0.0433)))	
12	0.29535639	0.23634608	0.17103997	0.00000074	(((((-0.4192*(x0)+0.4342*(x1)+0.0038*(x2)+0.3974*(x3)+-0.0196))*((-0.0341*(x0)+0.4560*(x1)+1.5251*(x2)+0.1638*(x3)+0.3098))))+((-0.1044*((x0)**4)+-0.0976*((x1)**4)+0.6076*((x2)**4)+0.3875*((x3)**4)+0.0433)))	
13	0.31496555	0.23534621	0.21634889	0.00000074	(((((-0.4192*(x0)+0.4342*(x1)+0.0038*(x2)+0.3974*(x3)+-0.0196))*((-0.0341*(x0)+0.4560*(x1)+1.5251*(x2)+0.1638*(x3)+0.3098))))+((-0.1044*((x0)**4)+-0.0976*((x1)**4)+0.6076*((x2)**4)+0.3875*((x3)**4)+0.0433)))	
14	0.09229179	0.23250200	0.17846201	0.00000074	(((((-0.4192*(x0)+0.4342*(x1)+0.0038*(x2)+0.3974*(x3)+-0.0196))*((-0.0341*(x0)+0.4560*(x1)+1.5251*(x2)+0.1638*(x3)+0.3098))))+((-0.1044*((x0)**4)+-0.0976*((x1)**4)+0.6076*((x2)**4)+0.3875*((x3)**4)+0.0433)))	
15	0.40280992	0.23132332	0.20892815	0.00000074	(((((-0.4192*(x0)+0.4342*(x1)+0.0038*(x2)+0.3974*(x3)+-0.0196))*((-0.0341*(x0)+0.4560*(x1)+1.5251*(x2)+0.1638*(x3)+0.3098))))+((-0.1044*((x0)**4)+-0.0976*((x1)**4)+0.6076*((x2)**4)+0.3875*((x3)**4)+0.0433)))	
16	0.42549098	0.23048635	0.21458392	0.00000074	(((((-0.4192*(x0)+0.4342*(x1)+0.0038*(x2)+0.3974*(x3)+-0.0196))*((-0.0341*(x0)+0.4560*(x1)+1.5251*(x2)+0.1638*(x3)+0.3098))))+((-0.1044*((x0)**4)+-0.0976*((x1)**4)+0.6076*((x2)**4)+0.3875*((x3)**4)+0.0433)))	
17	0.20561482	0.22964320	0.21362333	0.00000074	(((((-0.4192*(x0)+0.4342*(x1)+0.0038*(x2)+0.3974*(x3)+-0.0196))*((-0.0341*(x0)+0.4560*(x1)+1.5251*(x2)+0.1638*(x3)+0.3098))))+((-0.1044*((x0)**4)+-0.0976*((x1)**4)+0.6076*((x2)**4)+0.3875*((x3)**4)+0.0433)))	
18	0.03317970	0.22636779	0.16413502	0.00000074	(((((-0.4192*(x0)+0.4342*(x1)+0.0038*(x2)+0.3974*(x3)+-0.0196))*((-0.0341*(x0)+0.4560*(x1)+1.5251*(x2)+0.1638*(x3)+0.3098))))+((-0.1044*((x0)**4)+-0.0976*((x1)**4)+0.6076*((x2)**4)+0.3875*((x3)**4)+0.0433)))	
19	0.91110408	0.22505146	0.20004125	0.00000074	(((((-0.4192*(x0)+0.4342*(x1)+0.0038*(x2)+0.3974*(x3)+-0.0196))*((-0.0341*(x0)+0.4560*(x1)+1.5251*(x2)+0.1638*(x3)+0.3098))))+((-0.1044*((x0)**4)+-0.0976*((x1)**4)+0.6076*((x2)**4)+0.3875*((x3)**4)+0.0433)))	
20	0.34524450	0.22498731	0.22376862	0.00000074	(((((-0.4192*(x0)+0.4342*(x1)+0.0038*(x2)+0.3974*(x3)+-0.0196))*((-0.0341*(x0)+0.4560*(x1)+1.5251*(x2)+0.1638*(x3)+0.3098))))+((-0.1044*((x0)**4)+-0.0976*((x1)**4)+0.6076*((x2)**4)+0.3875*((x3)**4)+0.0433)))	
21	0.47718567	0.22361855	0.19761215	0.00000074	(((((-0.4192*(x0)+0.4342*(x1)+0.0038*(x2)+0.3974*(x3)+-0.0196))*((-0.0341*(x0)+0.4560*(x1)+1.5251*(x2)+0.1638*(x3)+0.3098))))+((-0.1044*((x0)**4)+-0.0976*((x1)**4)+0.6076*((x2)**4)+0.3875*((x3)**4)+0.0433)))	
22	0.76449561	0.22574332	0.26611423	0.00000074	(((((-0.4192*(x0)+0.4342*(x1)+0.0038*(x2)+0.3974*(x3)+-0.0196))*((-0.0341*(x0)+0.4560*(x1)+1.5251*(x2)+0.1638*(x3)+0.3098))))+((-0.1044*((x0)**4)+-0.0976*((x1)**4)+0.6076*((x2)**4)+0.3875*((x3)**4)+0.0433)))	
23	1.47390401	0.22399016	0.19067989	0.00000052	(((((0.1809*(x0)+0.4811*(x1)+1.3322*(x2)+0.2953*(x3)+0.1288))*((-0.4578*(sin(x0))+0.5883*(sin(x1))+-0.0143*(sin(x2))+0.5204*(sin(x3))+-0.0454))))-((0.0417*((x0)**3)+0.0155*((x1)**3)+-0.4719*((x2)**3)+-0.2647*((x3)**3)+-0.0279)))	
24	0.43902987	0.22160779	0.17634273	0.00000052	(((((0.1809*(x0)+0.4811*(x1)+1.3322*(x2)+0.2953*(x3)+0.1288))*((-0.4578*(sin(x0))+0.5883*(sin(x1))+-0.0143*(sin(x2))+0.5204*(sin(x3))+-0.0454))))-((0.0417*((x0)**3)+0.0155*((x1)**3)+-0.4719*((x2)**3)+-0.2647*((x3)**3)+-0.0279)))	
25	0.60470188	0.22081670	0.20578614	0.00000052	(((((0.1809*(x0)+0.4811*(x1)+1.3322*(x2)+0.2953*(x3)+0.1288))*((-0.4578*(sin(x0))+0.5883*(sin(x1))+-0.0143*(sin(x2))+0.5204*(sin(x3))+-0.0454))))-((0.0417*((x0)**3)+0.0155*((x1)**3)+-0.4719*((x2)**3)+-0.2647*((x3)**3)+-0.0279)))	
26	0.69201285	0.21965528	0.19758813	0.00000052	(((((0.1809*(x0)+0.4811*(x1)+1.3322*(x2)+0.2953*(x3)+0.1288))*((-0.4578*(sin(x0))+0.5883*(sin(x1))+-0.0143*(sin(x2))+0.5204*(sin(x3))+-0.0454))))-((0.0417*((x0)**3)+0.0155*((x1)**3)+-0.4719*((x2)**3)+-0.2647*((x3)**3)+-0.0279)))	
27	0.27422047	0.22108012	0.24815236	0.00000052	(((((0.1809*(x0)+0.4811*(x1)+1.3322*(x2)+0.2953*(x3)+0.1288))*((-0.4578*(sin(x0))+0.5883*(sin(x1))+-0.0143*(sin(x2))+0.5204*(sin(x3))+-0.0454))))-((0.0417*((x0)**3)+0.0155*((x1)**3)+-0.4719*((x2)**3)+-0.2647*((x3)**3)+-0.0279)))	
28	1.06575298	0.22146317	0.22874109	0.00000052	(((((0.1809*(x0)+0.4811*(x1)+1.3322*(x2)+0.2953*(x3)+0.1288))*((-0.4578*(sin(x0))+0.5883*(sin(x1))+-0.0143*(sin(x2))+0.5204*(sin(x3))+-0.0454))))-((0.0417*((x0)**3)+0.0155*((x1)**3)+-0.4719*((x2)**3)+-0.2647*((x3)**3)+-0.0279)))	
29	0.25780508	0.22154941	0.22318792	0.00000052	(((((0.1809*(x0)+0.4811*(x1)+1.3322*(x2)+0.2953*(x3)+0.1288))*((-0.4578*(sin(x0))+0.5883*(sin(x1))+-0.0143*(sin(x2))+0.5204*(sin(x3))+-0.0454))))-((0.0417*((x0)**3)+0.0155*((x1)**3)+-0.4719*((x2)**3)+-0.2647*((x3)**3)+-0.0279)))	
