iteration	loss	baseline	error	formula	error	
23	0.27320826	0.39855775	0.15808694	0.00000000	(0.5103*(((-0.0955*(0)+0.0963*(0)+-0.0428*(0)+-0.0344*(0)+-0.4456))*((-0.0248*(x0)+-2.6636*(x1)+2.1742*(x2)+-0.0248*(x3)+-0.0195)))+-0.0101)	
24	0.40548861	0.38613677	0.15013799	0.00000000	(0.5103*(((-0.0955*(0)+0.0963*(0)+-0.0428*(0)+-0.0344*(0)+-0.4456))*((-0.0248*(x0)+-2.6636*(x1)+2.1742*(x2)+-0.0248*(x3)+-0.0195)))+-0.0101)	
25	0.77148092	0.37561923	0.17578574	0.00000000	(0.5103*(((-0.0955*(0)+0.0963*(0)+-0.0428*(0)+-0.0344*(0)+-0.4456))*((-0.0248*(x0)+-2.6636*(x1)+2.1742*(x2)+-0.0248*(x3)+-0.0195)))+-0.0101)	
26	0.96871734	0.36579782	0.17919137	0.00000000	(0.5103*(((-0.0955*(0)+0.0963*(0)+-0.0428*(0)+-0.0344*(0)+-0.4456))*((-0.0248*(x0)+-2.6636*(x1)+2.1742*(x2)+-0.0248*(x3)+-0.0195)))+-0.0101)	
27	0.70931906	0.35484245	0.14669043	0.00000000	(0.5103*(((-0.0955*(0)+0.0963*(0)+-0.0428*(0)+-0.0344*(0)+-0.4456))*((-0.0248*(x0)+-2.6636*(x1)+2.1742*(x2)+-0.0248*(x3)+-0.0195)))+-0.0101)	
28	1.08087575	0.35257354	0.30946407	0.00000000	(0.5103*(((-0.0955*(0)+0.0963*(0)+-0.0428*(0)+-0.0344*(0)+-0.4456))*((-0.0248*(x0)+-2.6636*(x1)+2.1742*(x2)+-0.0248*(x3)+-0.0195)))+-0.0101)	
29	0.98379833	0.34329709	0.16704433	0.00000000	(0.5103*(((-0.0955*(0)+0.0963*(0)+-0.0428*(0)+-0.0344*(0)+-0.4456))*((-0.0248*(x0)+-2.6636*(x1)+2.1742*(x2)+-0.0248*(x3)+-0.0195)))+-0.0101)	
30	2.69187689	0.34690875	0.41553012	0.00000000	(0.5103*(((-0.0955*(0)+0.0963*(0)+-0.0428*(0)+-0.0344*(0)+-0.4456))*((-0.0248*(x0)+-2.6636*(x1)+2.1742*(x2)+-0.0248*(x3)+-0.0195)))+-0.0101)	
31	0.35440731	0.33733836	0.15550080	0.00000000	(0.5103*(((-0.0955*(0)+0.0963*(0)+-0.0428*(0)+-0.0344*(0)+-0.4456))*((-0.0248*(x0)+-2.6636*(x1)+2.1742*(x2)+-0.0248*(x3)+-0.0195)))+-0.0101)	
32	2.86781526	0.33461168	0.28280470	0.00000000	(0.5103*(((-0.0955*(0)+0.0963*(0)+-0.0428*(0)+-0.0344*(0)+-0.4456))*((-0.0248*(x0)+-2.6636*(x1)+2.1742*(x2)+-0.0248*(x3)+-0.0195)))+-0.0101)	
