iteration	loss	baseline	error	formula	error	
1	0.01350906	0.08624396	0.08624396	0.00071812	(((((-0.4060*((x0)**4)+1.2539*((x1)**4)+0.2813*((x2)**4)+-0.6114))*((0.7478*(sin(x0))+-0.9770*(sin(x1))+0.0245*(sin(x2))+0.0329))))-((-0.2196*((x0)**2)+0.4501*((x1)**2)+0.0285*((x2)**2)+-0.0245)))	
2	0.01310386	0.08619408	0.08524642	0.00069556	(((((-0.7136*(1)+-0.6080*(1)+-0.6105*(1)+-0.6307))*((-0.9186*(sin(x0))+1.1906*(sin(x1))+-0.2738*(sin(x2))+-0.0013))))*((0.9343*((x0)**2)+0.9982*((x1)**2)+0.4137*((x2)**2)+-0.6014)))	
3	0.00881183	0.08620347	0.08638205	0.00068711	(((((-1.9758*(sin(x0))+2.7708*(sin(x1))+-0.7512*(sin(x2))+0.0037))*((-0.3053*((x0)**4)+2.3473*((x1)**4)+0.2296*((x2)**4)+-0.2991))))*((-0.0975*(0)+-0.1402*(0)+-0.0342*(0)+-2.4701)))	
4	0.04319434	0.08612163	0.08456658	0.00068711	(((((-1.9758*(sin(x0))+2.7708*(sin(x1))+-0.7512*(sin(x2))+0.0037))*((-0.3053*((x0)**4)+2.3473*((x1)**4)+0.2296*((x2)**4)+-0.2991))))*((-0.0975*(0)+-0.1402*(0)+-0.0342*(0)+-2.4701)))	
5	0.02989637	0.08595036	0.08269642	0.00068711	(((((-1.9758*(sin(x0))+2.7708*(sin(x1))+-0.7512*(sin(x2))+0.0037))*((-0.3053*((x0)**4)+2.3473*((x1)**4)+0.2296*((x2)**4)+-0.2991))))*((-0.0975*(0)+-0.1402*(0)+-0.0342*(0)+-2.4701)))	
6	0.00916789	0.08604264	0.08779591	0.00066608	(((((-0.6660*(cos(x0))+-0.0227*(cos(x1))+0.7341*(cos(x2))+-0.0205))+((1.5332*(x0)+-2.6224*(x1)+0.8284*(x2)+-0.0260))))*((1.3249*(x0)+-0.0831*(x1)+0.9974*(x2)+-1.1279)))	
7	0.00762829	0.08600903	0.08537056	0.00066608	(((((-0.6660*(cos(x0))+-0.0227*(cos(x1))+0.7341*(cos(x2))+-0.0205))+((1.5332*(x0)+-2.6224*(x1)+0.8284*(x2)+-0.0260))))*((1.3249*(x0)+-0.0831*(x1)+0.9974*(x2)+-1.1279)))	
8	0.00278305	0.08601429	0.08611423	0.00066608	(((((-0.6660*(cos(x0))+-0.0227*(cos(x1))+0.7341*(cos(x2))+-0.0205))+((1.5332*(x0)+-2.6224*(x1)+0.8284*(x2)+-0.0260))))*((1.3249*(x0)+-0.0831*(x1)+0.9974*(x2)+-1.1279)))	
9	0.01961263	0.08595431	0.08481458	0.00066608	(((((-0.6660*(cos(x0))+-0.0227*(cos(x1))+0.7341*(cos(x2))+-0.0205))+((1.5332*(x0)+-2.6224*(x1)+0.8284*(x2)+-0.0260))))*((1.3249*(x0)+-0.0831*(x1)+0.9974*(x2)+-1.1279)))	
10	0.00423643	0.08593344	0.08553705	0.00066608	(((((-0.6660*(cos(x0))+-0.0227*(cos(x1))+0.7341*(cos(x2))+-0.0205))+((1.5332*(x0)+-2.6224*(x1)+0.8284*(x2)+-0.0260))))*((1.3249*(x0)+-0.0831*(x1)+0.9974*(x2)+-1.1279)))	
11	0.02159780	0.08589144	0.08509348	0.00066608	(((((-0.6660*(cos(x0))+-0.0227*(cos(x1))+0.7341*(cos(x2))+-0.0205))+((1.5332*(x0)+-2.6224*(x1)+0.8284*(x2)+-0.0260))))*((1.3249*(x0)+-0.0831*(x1)+0.9974*(x2)+-1.1279)))	
12	0.00393007	0.08594634	0.08698937	0.00066608	(((((-0.6660*(cos(x0))+-0.0227*(cos(x1))+0.7341*(cos(x2))+-0.0205))+((1.5332*(x0)+-2.6224*(x1)+0.8284*(x2)+-0.0260))))*((1.3249*(x0)+-0.0831*(x1)+0.9974*(x2)+-1.1279)))	
13	0.00709776	0.08593757	0.08577106	0.00066608	(((((-0.6660*(cos(x0))+-0.0227*(cos(x1))+0.7341*(cos(x2))+-0.0205))+((1.5332*(x0)+-2.6224*(x1)+0.8284*(x2)+-0.0260))))*((1.3249*(x0)+-0.0831*(x1)+0.9974*(x2)+-1.1279)))	
14	0.00457603	0.08594432	0.08607255	0.00066608	(((((-0.6660*(cos(x0))+-0.0227*(cos(x1))+0.7341*(cos(x2))+-0.0205))+((1.5332*(x0)+-2.6224*(x1)+0.8284*(x2)+-0.0260))))*((1.3249*(x0)+-0.0831*(x1)+0.9974*(x2)+-1.1279)))	
15	0.00791690	0.08603455	0.08774897	0.00066608	(((((-0.6660*(cos(x0))+-0.0227*(cos(x1))+0.7341*(cos(x2))+-0.0205))+((1.5332*(x0)+-2.6224*(x1)+0.8284*(x2)+-0.0260))))*((1.3249*(x0)+-0.0831*(x1)+0.9974*(x2)+-1.1279)))	
16	0.00509027	0.08603071	0.08595782	0.00066608	(((((-0.6660*(cos(x0))+-0.0227*(cos(x1))+0.7341*(cos(x2))+-0.0205))+((1.5332*(x0)+-2.6224*(x1)+0.8284*(x2)+-0.0260))))*((1.3249*(x0)+-0.0831*(x1)+0.9974*(x2)+-1.1279)))	
